city,neighbourhood,total_crimes,violent_pct,property_pct,avg_hour,night_pct,cluster,risk_level
Toronto,Agincourt North (129),1924,46.46569646569647,53.53430353430353,13.124220374220375,21.205821205821206,2,Low Risk
Toronto,Agincourt South-Malvern West (128),2864,52.86312849162012,47.13687150837989,11.938896648044693,28.666201117318437,0,High Risk
Toronto,Alderwood (20),1084,39.85239852398524,60.147601476014756,11.913284132841328,30.44280442804428,2,Low Risk
Toronto,Annex (95),5804,59.18332184700207,40.81667815299793,12.038077188146106,27.929014472777396,0,High Risk
Toronto,Avondale (153),867,59.515570934256054,40.484429065743946,12.03114186851211,26.75893886966551,0,High Risk
Toronto,Banbury-Don Mills (42),2320,45.60344827586207,54.39655172413793,12.940517241379311,22.112068965517242,2,Low Risk
Toronto,Bathurst Manor (34),1523,52.13394615889692,47.86605384110308,13.118844386080106,21.996060407091267,1,Medium Risk
Toronto,Bay-Cloverhill (169),2280,62.5438596491228,37.45614035087719,11.805263157894737,29.166666666666668,0,High Risk
Toronto,Bayview Village (52),1855,50.61994609164421,49.3800539083558,12.853908355795149,21.778975741239893,1,Medium Risk
Toronto,Bayview Woods-Steeles (49),882,45.23809523809524,54.761904761904766,13.329931972789115,19.160997732426306,2,Low Risk
Toronto,Bedford Park-Nortown (39),2347,25.181082232637408,74.81891776736259,12.384746484874308,31.78525777588411,2,Low Risk
Toronto,Beechborough-Greenbrook (112),1041,68.87608069164266,31.12391930835735,12.92507204610951,24.87992315081652,1,Medium Risk
Toronto,Bendale South (157),1067,67.47891283973757,32.52108716026242,12.607310215557638,25.023430178069354,1,Medium Risk
Toronto,Bendale-Glen Andrew (156),2999,65.75525175058353,34.244748249416475,13.972324108036013,15.67189063021007,1,Medium Risk
Toronto,Birchcliffe-Cliffside (122),2725,65.28440366972477,34.715596330275226,12.566605504587155,23.743119266055047,1,Medium Risk
Toronto,Black Creek (24),3467,71.61811364291894,28.381886357081047,13.19498125180271,21.228728006922413,1,Medium Risk
Toronto,Blake-Jones (69),954,67.19077568134172,32.80922431865828,12.125786163522013,27.882599580712785,0,High Risk
Toronto,Briar Hill-Belgravia (108),1746,57.56013745704467,42.439862542955325,12.400343642611684,27.20504009163803,0,High Risk
Toronto,Bridle Path-Sunnybrook-York Mills (41),1210,30.74380165289256,69.25619834710743,12.831404958677686,22.975206611570247,2,Low Risk
Toronto,Broadview North (57),955,67.22513089005236,32.774869109947645,12.523560209424083,25.445026178010473,1,Medium Risk
Toronto,Brookhaven-Amesbury (30),2116,59.35727788279773,40.64272211720227,12.789224952741021,24.149338374291116,1,Medium Risk
Toronto,Cabbagetown-South St.James Town (71),2193,63.748290013679885,36.25170998632011,12.311901504787961,25.85499316005472,0,High Risk
Toronto,Caledonia-Fairbank (109),903,69.32447397563676,30.67552602436323,12.267995570321151,28.68217054263566,0,High Risk
Toronto,Casa Loma (96),1090,50.825688073394495,49.174311926605505,13.041284403669724,21.834862385321102,1,Medium Risk
Toronto,Centennial Scarborough (133),845,54.082840236686394,45.917159763313606,12.427218934911243,24.733727810650887,1,Medium Risk
Toronto,Church-Wellesley (167),4789,75.29755690123199,24.702443098768008,11.894550010440593,28.774274378784714,0,High Risk
Toronto,Clairlea-Birchmount (120),4185,65.32855436081243,34.671445639187574,12.628434886499402,21.7921146953405,1,Medium Risk
Toronto,Clanton Park (33),2182,45.69202566452796,54.30797433547204,12.711274060494958,22.36480293308891,2,Low Risk
Toronto,Cliffcrest (123),2062,65.17943743937924,34.82056256062076,12.406401551891367,25.121241513094084,0,High Risk
Toronto,Corso Italia-Davenport (92),1719,66.55031995346131,33.44968004653869,12.310063990692264,29.668411867364746,0,High Risk
Toronto,Danforth (66),1672,68.24162679425837,31.758373205741623,12.614234449760765,24.10287081339713,1,Medium Risk
Toronto,Danforth East York (59),1229,58.0960130187144,41.9039869812856,12.655004068348251,23.596419853539462,1,Medium Risk
